,TV,radio,newspaper,sales
140,73.4,17.0,12.9,10.9
141,193.7,35.4,75.6,19.2
142,220.5,33.2,37.9,20.1
143,104.6,5.7,34.4,10.4
145,140.3,1.9,9.0,10.3
147,243.2,49.0,44.3,25.4
148,38.0,40.3,11.9,10.9
150,280.7,13.9,37.0,16.1
151,121.0,8.4,48.7,11.6
154,187.8,21.1,9.5,15.6
156,93.9,43.5,50.5,15.3
158,11.7,36.9,45.2,7.3
159,131.7,18.4,34.6,12.9
161,85.7,35.8,49.3,13.3
162,188.4,18.1,25.6,14.9
163,163.5,36.8,7.4,18.0
164,117.2,14.7,5.4,11.9
165,234.5,3.4,84.8,11.9
166,17.9,37.6,21.6,8.0
167,206.8,5.2,19.4,12.2
168,215.4,23.6,57.6,17.1
169,284.3,10.6,6.4,15.0
171,164.5,20.9,47.4,14.5
172,19.6,20.1,17.0,7.6
173,168.4,7.1,12.8,11.7
174,222.4,3.4,13.1,11.5
177,170.2,7.8,35.2,11.7
179,165.6,10.0,17.6,12.6
180,156.6,2.6,8.3,10.5
181,218.5,5.4,27.4,12.2
182,56.2,5.7,29.7,8.7
183,287.6,43.0,71.8,26.2
184,253.8,21.3,30.0,17.6
185,205.0,45.1,19.6,22.6
186,139.5,2.1,26.6,10.3
188,286.0,13.9,3.7,15.9
189,18.7,12.1,23.4,6.7
190,39.5,41.1,5.8,10.8
191,75.5,10.8,6.0,9.9
193,166.8,42.0,3.6,19.6
194,149.7,35.6,6.0,17.3
196,94.2,4.9,8.1,9.7
197,177.0,9.3,6.4,12.8
198,283.6,42.0,66.2,25.5
199,232.1,8.6,8.7,13.4
